mes,ingresos,pedidos,aov
2016-10,46566.71,265,175.72
2017-01,127545.67,750,170.06
2017-02,271298.65,1653,164.13
2017-03,414369.39,2546,162.75
2017-04,390952.18,2303,169.76
2017-05,567066.73,3546,159.92
2017-06,490225.6,3135,156.37
2017-07,566403.93,3872,146.28
2017-08,646000.61,4193,154.07
2017-09,701169.99,4150,168.96
2017-10,751140.27,4478,167.74
2017-11,1153528.05,7289,158.26
2017-12,843199.17,5513,152.95
2018-01,1078606.86,7069,152.58
2018-02,966510.88,6555,147.45
2018-03,1120678.0,7003,160.03
2018-04,1132933.95,6798,166.66
2018-05,1128836.69,6749,167.26
2018-06,1012090.68,6099,165.94
2018-07,1027903.86,6159,166.89
2018-08,985414.28,6351,155.16
